number_of_lanes,fatal_count,young,deer,lighting,occupants,road_condition,speed_limit,hour,hit_and_run,most_severe_injury,red_light_running,weekday,highway_classification,crash_type,weather,alcohol,drug
4,0,0,0,1,1,1,55,14,0,5,0,3,1,1,1,0,0
2,0,0,0,1,1,1,30,9,1,5,1,2,9,4,1,0,0
7,0,0,0,1,2,2,30,17,0,5,0,2,9,8,2,0,0
0,0,0,0,1,2,1,0,14,0,5,0,2,9,10,1,0,0
2,0,0,0,4,1,4,35,18,0,5,0,3,9,2,1,0,0
4,0,0,0,1,1,4,55,12,0,4,0,2,7,1,5,0,0
6,0,1,0,4,2,3,30,3,0,5,0,1,2,5,5,0,0
4,0,0,0,1,2,1,70,7,0,5,0,4,1,5,2,0,0
2,0,1,0,1,2,2,25,11,0,5,1,3,9,4,1,0,0
5,0,0,0,1,3,6,70,8,0,5,0,1,9,8,2,0,0
3,0,0,0,1,1,4,55,9,0,5,0,7,1,1,5,0,0
3,0,1,0,1,2,1,15,9,0,5,0,6,9,8,1,0,0
5,0,0,0,4,2,1,0,19,0,4,1,4,9,4,1,0,0
4,0,0,0,1,1,1,30,15,1,5,0,2,9,8,1,0,0
3,0,0,0,4,2,1,55,5,0,4,0,2,3,5,2,0,0
2,0,0,0,1,2,3,25,10,0,5,0,3,9,4,1,0,0
4,0,0,0,1,2,2,35,14,0,4,1,6,9,4,5,0,0
1,0,0,0,4,0,4,25,20,1,5,0,3,9,8,5,0,0
4,0,0,0,4,2,1,35,21,0,5,0,4,9,1,1,0,0
4,0,0,0,1,1,1,30,1,1,5,0,5,9,4,2,0,0
1,0,0,0,1,1,6,55,14,0,4,0,5,1,1,1,0,0
1,0,0,0,4,0,1,10,2,1,5,0,1,3,4,1,0,0
3,0,0,0,4,1,1,55,0,0,4,0,7,3,1,1,0,0
5,0,0,0,1,2,0,35,12,0,3,1,3,9,4,2,1,0
4,0,0,0,4,1,1,55,17,0,2,0,3,1,1,2,0,0
3,0,0,0,4,2,4,53,4,0,5,0,7,1,4,5,0,0
3,0,0,0,4,1,1,55,22,1,5,0,1,3,5,1,0,0
3,0,0,0,4,1,1,55,20,1,4,0,3,3,5,1,0,0
3,0,0,0,1,1,4,55,17,0,5,0,1,1,1,5,0,0
2,0,0,0,4,1,4,25,6,1,5,0,4,9,10,5,0,0
3,0,0,0,1,5,1,55,10,0,4,0,3,3,8,1,0,0
2,0,0,0,1,1,6,25,14,1,3,0,6,9,4,1,0,0
2,0,0,0,4,0,4,25,21,1,5,0,6,9,10,1,0,0
3,0,0,0,0,2,2,55,18,0,5,0,5,1,5,2,0,0
1,0,0,0,4,1,4,70,3,0,5,0,5,1,1,5,1,0
7,0,0,0,4,2,2,35,2,1,3,0,7,9,2,4,1,0
3,0,0,0,4,2,1,35,18,0,5,0,7,9,4,1,0,0
3,0,0,0,4,2,3,55,22,0,5,0,1,9,10,2,0,0
6,0,0,0,4,2,4,25,18,0,5,0,3,9,8,5,0,0
4,0,0,0,1,1,2,70,15,0,4,0,4,1,1,2,0,0
0,0,0,0,1,0,2,0,13,1,5,0,1,9,10,1,0,0
2,0,0,0,1,2,3,55,10,0,5,0,3,1,8,1,0,0
3,0,1,0,1,1,2,55,17,0,5,0,1,3,1,2,0,0
2,0,0,0,1,2,4,25,12,0,5,0,7,9,10,1,0,0
3,0,0,0,1,2,1,70,15,0,5,0,6,1,5,2,0,0
8,0,1,0,1,2,4,30,16,0,5,0,5,3,4,5,0,0
1,0,1,0,1,6,3,25,16,0,4,0,6,9,4,2,0,0
3,0,0,0,4,1,4,55,23,1,5,0,7,3,8,2,0,0
2,0,0,0,1,0,4,25,12,1,5,0,3,3,5,1,0,0
4,0,0,0,1,2,3,55,15,0,5,0,5,3,5,5,0,0
3,0,1,0,1,2,4,55,10,0,5,0,6,3,5,2,0,0
3,0,1,0,4,1,2,70,1,0,3,0,1,3,1,2,0,0
4,0,0,0,1,2,4,70,17,1,5,0,4,1,8,2,0,0
3,0,0,0,4,3,3,55,2,0,4,0,5,1,1,2,0,0
4,0,1,0,4,1,4,65,21,1,4,0,4,1,8,2,0,0
2,0,1,0,4,1,4,55,21,0,5,0,5,1,1,2,0,0
3,0,0,0,4,3,2,55,22,0,5,0,1,1,10,2,0,0
4,0,0,0,2,3,1,30,0,0,5,0,1,9,3,8,0,0
4,0,1,0,1,4,2,55,11,0,3,0,3,1,8,4,0,0
2,0,1,0,1,3,4,30,12,0,5,0,7,9,8,1,0,0
1,0,0,0,4,1,1,55,22,0,4,0,7,1,1,5,1,0
3,0,0,0,1,1,4,55,7,0,5,0,6,3,1,1,0,0
3,0,0,0,1,2,2,55,11,0,4,0,1,1,1,2,0,0
4,0,1,0,4,4,4,30,1,1,3,0,7,9,4,5,0,0
4,0,0,0,4,2,3,70,22,0,5,0,1,1,5,5,0,0
2,0,1,0,4,2,1,30,12,0,5,0,7,3,1,1,0,0
1,0,0,0,5,2,3,25,23,1,5,0,5,9,8,1,0,0
4,0,0,0,1,1,6,70,10,0,5,0,7,1,1,5,0,0
1,0,1,0,1,0,4,40,14,0,5,0,5,3,10,1,0,0
2,0,1,0,1,4,1,25,16,0,5,0,5,9,4,1,0,0
6,0,0,0,4,5,6,35,1,0,5,0,7,9,4,5,0,0
2,0,0,0,1,2,4,0,14,0,5,0,5,9,4,5,0,0
2,0,1,0,4,1,2,55,6,0,5,0,6,1,1,5,0,0
4,0,0,0,4,5,2,70,18,0,4,0,5,1,5,2,0,0
2,0,0,0,1,2,1,25,10,0,5,0,3,3,8,1,0,0
4,0,0,0,1,2,1,25,10,0,5,1,6,9,4,1,0,0
3,0,0,0,1,3,4,70,16,0,4,0,4,1,8,2,0,0
6,0,0,0,1,2,4,35,16,0,5,0,3,3,1,5,0,0
4,0,1,0,4,7,1,30,18,1,5,0,6,9,5,1,0,0
9,0,0,0,1,1,4,40,3,0,2,0,7,3,1,5,0,0
2,0,0,0,5,2,1,30,17,0,5,0,2,9,4,1,0,0
3,0,1,0,1,2,2,55,11,0,4,0,5,3,10,1,0,0
0,0,0,0,4,2,1,0,18,1,5,0,1,9,5,1,0,0
4,0,0,0,4,4,2,35,0,0,4,0,3,3,5,4,0,0
2,0,0,0,4,1,1,25,4,0,5,0,3,9,1,1,0,0
2,0,0,0,4,0,1,20,2,1,5,0,1,9,5,1,0,0
3,0,0,0,1,1,3,55,12,0,4,0,6,1,1,2,0,0
3,0,1,0,1,2,2,55,9,0,5,0,6,1,4,1,0,0
5,0,0,0,4,2,1,40,23,1,5,0,5,9,4,1,0,0
4,0,0,0,1,3,4,70,16,0,5,0,7,1,8,5,0,0
4,0,0,0,1,3,4,55,16,1,5,0,1,1,8,5,0,0
3,0,0,0,4,1,1,55,0,0,4,0,5,1,1,2,1,0
4,0,0,0,1,2,1,30,15,1,4,0,2,9,4,1,0,0
4,0,0,0,4,1,3,70,23,0,5,0,5,1,1,2,0,0
4,0,0,0,0,1,0,55,15,0,4,0,7,1,10,0,0,0
4,0,1,0,5,2,1,70,17,0,5,0,5,1,5,2,0,0
3,0,0,0,4,3,6,55,22,0,5,0,1,3,8,2,0,0
2,0,0,0,4,1,6,25,20,0,5,0,1,3,10,1,0,0
3,0,0,0,1,1,4,55,8,1,5,0,4,3,4,2,0,0
2,0,0,0,1,2,6,25,16,1,5,0,5,9,10,2,0,0
3,0,0,0,1,4,4,55,9,0,5,0,4,3,8,5,0,0
3,0,0,0,4,1,4,55,22,0,4,0,5,1,1,1,0,0
5,0,0,0,4,6,1,55,18,0,5,0,7,1,5,2,0,0
2,0,0,0,1,2,1,55,12,0,4,0,3,3,5,1,0,0
2,0,0,0,4,1,4,25,4,0,5,0,4,9,5,5,0,0
4,0,0,0,4,1,1,35,3,0,5,0,3,9,1,2,0,0
4,0,0,0,3,1,3,40,17,0,5,0,5,3,5,2,0,0
1,0,0,0,1,2,6,25,14,0,5,0,7,9,2,1,0,0
2,0,0,0,1,0,3,25,8,1,5,0,4,9,8,0,0,0
5,0,0,0,5,3,1,25,19,0,5,0,3,9,4,1,0,0
4,0,0,0,1,5,4,55,10,0,5,0,7,3,4,2,0,0
4,0,1,0,1,5,1,70,16,0,5,0,6,1,8,1,0,0
3,0,1,0,4,1,1,55,3,0,5,0,7,3,1,1,0,0
1,0,0,0,1,2,1,25,11,1,5,0,4,9,9,1,0,0
3,0,1,0,4,8,1,55,22,0,3,0,7,3,1,2,0,0
3,0,0,0,4,1,3,55,18,0,5,0,4,9,1,1,0,0
6,0,0,0,4,5,1,30,18,0,5,0,3,3,8,1,0,0
1,0,0,0,1,3,2,0,16,1,5,0,3,1,5,2,0,0
4,0,0,0,4,3,0,55,19,0,5,0,3,1,8,5,0,0
4,0,0,0,4,3,1,55,21,0,3,0,7,1,5,1,0,0
3,0,0,0,1,2,2,55,9,0,5,0,7,1,1,2,0,0
1,0,0,0,1,2,4,55,13,1,5,0,7,3,8,5,0,0
4,0,0,0,2,1,1,70,8,1,5,0,2,3,5,1,0,0
3,0,1,0,4,1,4,55,6,0,5,0,5,9,1,5,0,0
5,0,0,0,4,2,4,35,17,0,5,0,6,9,5,5,0,0
3,0,0,0,2,1,2,55,7,1,5,0,1,3,8,2,0,0
3,0,1,0,4,2,1,55,1,0,5,0,1,1,5,2,0,0
4,0,0,0,1,2,0,40,15,0,5,0,7,9,5,1,0,0
3,0,1,0,1,2,1,55,9,0,5,0,6,1,5,1,0,0
2,0,0,0,1,2,3,35,10,0,5,0,7,9,10,1,0,0
3,0,0,0,1,0,1,25,10,1,5,0,6,9,10,1,0,0
2,0,0,0,1,1,4,35,11,1,5,0,7,1,5,5,0,0
4,0,0,0,1,2,2,25,10,0,4,0,3,9,4,5,0,0
3,0,0,0,4,2,3,70,6,0,5,0,5,1,1,1,0,0
3,0,0,0,1,1,3,70,9,1,5,0,6,1,8,5,0,0
4,0,0,0,2,1,4,55,7,0,5,0,7,9,1,5,0,0
2,0,1,0,6,2,8,25,16,0,5,0,7,9,4,8,0,0
3,0,0,0,2,1,2,55,7,0,5,0,4,3,1,2,0,0
2,0,0,0,1,4,2,15,14,0,4,0,5,1,5,2,0,0
4,0,0,0,1,8,1,70,16,0,5,0,1,1,8,1,0,0
4,0,1,0,4,3,1,35,0,0,5,0,7,3,5,1,0,0
1,0,0,0,4,8,2,30,15,0,4,0,5,9,4,2,0,0
3,0,0,0,1,2,2,30,12,0,5,0,6,9,8,1,0,0
3,0,0,0,1,2,3,55,11,0,5,0,5,1,10,1,0,0
4,0,0,0,1,1,1,70,14,0,5,0,4,1,1,2,0,0
4,0,0,0,1,2,4,70,9,0,5,0,7,1,4,5,0,0
3,0,1,0,4,2,6,35,17,0,5,0,5,9,5,1,0,0
5,0,0,0,1,2,4,55,15,0,4,0,4,7,10,5,0,0
4,0,0,0,4,2,3,55,5,0,5,0,5,1,1,5,0,0
5,0,1,0,4,1,4,55,22,0,5,0,3,1,1,5,0,0
4,0,0,0,4,1,4,70,18,0,4,0,1,1,1,5,0,0
3,0,0,0,4,3,6,55,3,0,3,0,1,3,1,2,0,0
3,0,0,0,1,3,4,55,17,0,5,0,2,3,1,5,0,0
4,0,0,0,2,2,2,35,17,0,4,0,5,3,10,0,0,0
2,0,0,0,2,1,2,15,9,1,5,0,5,9,10,1,0,0
4,0,0,0,1,1,4,70,16,0,4,0,3,1,1,5,0,0
4,0,0,0,4,1,3,70,3,0,5,0,6,1,1,5,0,0
3,0,1,0,1,4,1,25,13,0,5,0,6,1,5,1,0,0
2,0,0,0,1,1,3,25,15,1,5,0,1,9,4,1,0,0
2,0,0,0,1,2,4,30,14,0,5,0,3,3,1,5,0,0
2,0,0,0,6,2,8,55,7,0,5,0,5,1,10,8,0,0
4,0,1,0,4,1,3,70,1,0,5,0,7,1,1,5,0,0
2,0,0,0,1,1,1,35,10,0,5,0,4,9,9,2,0,0
2,0,0,0,4,1,6,25,1,1,5,0,1,9,8,5,0,0
4,0,1,0,3,2,1,70,17,0,5,0,6,1,5,1,0,0
3,0,0,0,4,1,1,55,20,0,4,0,6,1,8,2,0,0
4,0,1,0,1,5,4,30,8,0,2,0,5,9,4,5,0,0
7,0,1,0,1,4,1,30,9,0,3,0,4,3,4,1,0,0
3,0,0,0,4,4,1,55,17,0,5,0,3,3,5,2,0,0
3,0,0,0,4,1,6,55,2,1,5,0,1,3,5,2,0,0
2,0,0,0,1,0,3,25,12,0,5,0,7,9,2,8,0,0
4,0,0,0,4,2,6,25,18,0,4,0,7,9,4,5,0,0
3,0,0,0,1,1,3,55,7,0,5,0,6,3,1,2,0,0
3,0,0,0,1,1,4,30,6,1,5,0,5,9,5,1,0,0
4,0,0,0,1,1,2,70,9,0,5,0,3,1,1,4,0,0
3,0,0,0,1,2,2,25,17,0,5,0,5,3,5,5,0,0
4,0,1,0,1,2,2,70,8,0,5,0,3,1,8,2,0,0
0,0,1,0,0,3,0,0,7,0,5,0,2,9,0,0,0,0
2,0,0,0,1,5,4,25,11,0,5,0,3,9,8,1,0,0
4,0,0,0,1,1,2,70,13,0,4,0,5,1,1,2,0,0
3,0,1,0,3,2,1,55,17,0,5,0,1,1,1,2,0,0
4,0,0,0,2,2,4,70,6,0,5,0,7,1,8,5,0,0
2,0,0,0,1,1,1,30,13,1,5,0,3,9,8,1,0,0
2,0,0,0,1,4,1,25,16,0,4,0,4,9,4,2,1,0
4,0,0,0,1,4,2,70,14,0,5,0,1,9,1,2,0,0
3,0,0,0,1,1,2,55,12,0,5,0,5,3,1,1,0,0
3,0,1,0,4,3,1,55,17,0,4,0,6,1,5,2,0,0
1,0,1,0,4,1,3,25,17,0,4,0,5,3,1,2,0,0
2,0,1,0,4,2,1,35,18,0,5,0,1,9,4,1,0,0
3,0,0,0,4,2,1,55,18,0,5,0,3,1,5,2,0,0
3,0,0,0,4,2,6,55,19,0,4,0,2,3,8,2,0,0
1,0,0,0,4,1,3,70,1,0,5,0,6,1,1,5,0,0
6,0,0,0,4,1,2,35,2,0,2,0,7,3,5,4,1,0
3,0,0,0,1,2,4,55,15,0,4,0,4,1,4,1,0,0
3,0,1,0,1,3,1,55,15,0,4,0,5,1,10,1,0,0
3,0,0,0,4,1,3,55,23,0,4,0,1,1,5,2,0,0
6,0,0,0,1,2,1,30,11,0,5,0,5,7,8,1,0,0
4,0,0,0,1,4,1,35,16,0,5,0,6,9,5,1,0,0
4,0,0,0,4,2,4,70,20,0,5,0,5,1,1,5,0,0
1,0,1,0,4,2,4,25,23,0,5,0,6,9,4,5,0,0
2,0,0,0,4,3,1,35,17,0,5,0,2,9,2,1,0,0
4,0,0,0,1,2,2,25,12,0,4,0,5,9,5,2,0,0
3,0,0,0,4,2,4,70,18,0,5,0,3,1,8,5,0,0
2,0,0,0,1,2,1,25,10,0,5,0,3,9,2,1,0,0
1,0,0,0,1,3,3,25,8,0,5,0,4,9,2,5,0,0
2,0,0,0,1,1,4,25,17,1,5,0,7,9,4,1,0,0
3,0,0,0,4,3,1,55,1,0,5,0,3,3,5,1,0,0
3,0,0,0,4,2,2,55,18,0,5,0,6,1,5,5,0,0
3,0,0,0,1,1,4,55,10,0,4,0,4,1,1,5,0,0
2,0,0,0,4,6,1,30,23,1,5,0,7,9,9,1,0,0
2,0,0,0,1,1,4,15,6,0,5,0,3,3,1,2,0,0
2,0,0,0,4,2,4,25,1,1,5,0,4,9,5,1,0,0
2,0,0,0,1,3,4,25,16,1,5,0,4,9,4,5,0,0
2,0,1,0,4,2,3,30,5,0,5,0,3,9,9,4,0,0
3,0,1,0,1,1,6,55,8,0,5,0,7,1,1,5,0,0
5,0,0,0,1,2,1,70,8,0,5,0,4,9,8,1,0,0
2,0,0,0,4,2,4,25,18,0,5,0,6,9,9,2,0,0
2,0,0,0,1,2,2,35,16,0,5,0,7,3,7,1,0,0
4,0,0,0,1,1,1,35,10,1,5,0,2,1,5,1,0,0
1,0,0,0,1,6,4,25,16,0,5,0,5,9,4,1,0,0
1,0,0,0,4,1,4,70,6,0,5,0,7,1,1,5,0,0
1,0,0,0,4,2,4,55,6,0,5,0,3,3,5,5,0,0
3,0,0,0,1,3,1,55,8,0,5,0,4,3,5,5,0,0
1,0,0,0,1,1,4,25,8,0,5,0,5,9,5,5,0,0
1,0,0,0,1,2,3,25,11,0,5,0,4,9,4,1,0,0
3,0,0,0,4,0,2,35,6,1,5,0,2,9,8,1,0,0
4,0,0,0,4,2,4,55,21,0,5,0,1,1,8,5,0,0
3,0,1,0,2,5,1,55,7,0,5,0,3,3,5,2,0,0
5,0,0,0,4,6,6,70,6,0,5,0,1,1,10,2,0,0
3,0,0,0,4,1,3,55,6,0,5,0,5,1,1,5,0,0
